parent_directory	object_type	name	size_in_bytes
D:\Geekbrains\Git_Tasks\Python_part_2	file	main.py	544
D:\Geekbrains\Git_Tasks\Python_part_2	directory	.idea	14770
D:\Geekbrains\Git_Tasks\Python_part_2	directory	HW1	3665
D:\Geekbrains\Git_Tasks\Python_part_2	directory	HW2	2316
D:\Geekbrains\Git_Tasks\Python_part_2	directory	HW3	6655
D:\Geekbrains\Git_Tasks\Python_part_2	directory	HW4	4372
D:\Geekbrains\Git_Tasks\Python_part_2	directory	HW5	1822
D:\Geekbrains\Git_Tasks\Python_part_2	directory	HW6	9369
D:\Geekbrains\Git_Tasks\Python_part_2	directory	HW7	35321
D:\Geekbrains\Git_Tasks\Python_part_2	directory	HW8	1650337
D:\Geekbrains\Git_Tasks\Python_part_2	directory	pythonProject	100806514
D:\Geekbrains\Git_Tasks\Python_part_2	directory	venv	13402773
D:\Geekbrains\Git_Tasks\Python_part_2\.idea	file	.gitignore	50
D:\Geekbrains\Git_Tasks\Python_part_2\.idea	file	misc.xml	188
D:\Geekbrains\Git_Tasks\Python_part_2\.idea	file	modules.xml	285
D:\Geekbrains\Git_Tasks\Python_part_2\.idea	file	Python_part_2.iml	394
D:\Geekbrains\Git_Tasks\Python_part_2\.idea	file	vcs.xml	188
D:\Geekbrains\Git_Tasks\Python_part_2\.idea	file	workspace.xml	13338
D:\Geekbrains\Git_Tasks\Python_part_2\.idea	directory	codeStyles	153
D:\Geekbrains\Git_Tasks\Python_part_2\.idea	directory	inspectionProfiles	174
D:\Geekbrains\Git_Tasks\Python_part_2\.idea\codeStyles	file	codeStyleConfig.xml	153
D:\Geekbrains\Git_Tasks\Python_part_2\.idea\inspectionProfiles	file	profiles_settings.xml	174
D:\Geekbrains\Git_Tasks\Python_part_2\HW1	file	Ex2.py	1269
D:\Geekbrains\Git_Tasks\Python_part_2\HW1	file	Ex3.py	1123
D:\Geekbrains\Git_Tasks\Python_part_2\HW1	file	Ex4.py	1273
D:\Geekbrains\Git_Tasks\Python_part_2\HW2	file	Task2.py	899
D:\Geekbrains\Git_Tasks\Python_part_2\HW2	file	Task3.py	1417
D:\Geekbrains\Git_Tasks\Python_part_2\HW3	file	Ex2.py	555
D:\Geekbrains\Git_Tasks\Python_part_2\HW3	file	Ex3.py	1096
D:\Geekbrains\Git_Tasks\Python_part_2\HW3	file	Ex4.py	1606
D:\Geekbrains\Git_Tasks\Python_part_2\HW3	file	wikitext.txt	3398
D:\Geekbrains\Git_Tasks\Python_part_2\HW4	file	Ex1.py	348
D:\Geekbrains\Git_Tasks\Python_part_2\HW4	file	Ex2.py	869
D:\Geekbrains\Git_Tasks\Python_part_2\HW4	file	Ex3.py	3155
D:\Geekbrains\Git_Tasks\Python_part_2\HW5	file	Ex1.py	574
D:\Geekbrains\Git_Tasks\Python_part_2\HW5	file	Ex2.py	824
D:\Geekbrains\Git_Tasks\Python_part_2\HW5	file	Ex3.py	424
D:\Geekbrains\Git_Tasks\Python_part_2\HW6	file	Ex1.py	368
D:\Geekbrains\Git_Tasks\Python_part_2\HW6	file	Ex3.py	984
D:\Geekbrains\Git_Tasks\Python_part_2\HW6	directory	Package	8017
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package	file	check_queens.py	1508
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package	file	guess_number_mod.py	760
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package	file	puzzles_mod.py	1555
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package	file	year_mod.py	927
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package	file	__init__.py	73
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package	directory	__pycache__	3194
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package\__pycache__	file	check_queens.cpython-311.pyc	1154
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package\__pycache__	file	year_mod.cpython-311.pyc	1794
D:\Geekbrains\Git_Tasks\Python_part_2\HW6\Package\__pycache__	file	__init__.cpython-311.pyc	246
D:\Geekbrains\Git_Tasks\Python_part_2\HW7	directory	Package	35321
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	4j97zi3fsw.jpeg	1982
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	8aryct6hhprhdh4rv0ky.bin	3525
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	8d0renewed00001.jpeg	2636
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	9v1m8d85kzj2sreej93cburm.txt	2068
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	combine_files.py	2086
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	fill_file.py	942
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	gen_files.py	1589
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	gen_files_in_dir.py	1720
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	gen_files_with_ext.py	1450
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	group_file_rename.py	1978
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	m0hrenewed00003.jpeg	2924
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	names.txt	99
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	names_gen.py	1169
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	numbers.txt	264
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	results.txt	264
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	rmeqb0xu2x1p9b2jgq1mmj4.txt	1336
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	sort_files.py	2412
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	vwerenewed00002.jpeg	4077
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	wcikvwzllaplkyeeit2vsxdy8.bin	2645
D:\Geekbrains\Git_Tasks\Python_part_2\HW7\Package	file	__init__.py	155
D:\Geekbrains\Git_Tasks\Python_part_2\HW8	directory	Package	1650337
D:\Geekbrains\Git_Tasks\Python_part_2\HW8\Package	file	hw8.py	2629
D:\Geekbrains\Git_Tasks\Python_part_2\HW8\Package	file	results.csv	1192151
D:\Geekbrains\Git_Tasks\Python_part_2\HW8\Package	file	results.json	321
D:\Geekbrains\Git_Tasks\Python_part_2\HW8\Package	file	results.pickle	453903
D:\Geekbrains\Git_Tasks\Python_part_2\HW8\Package	file	results.txt	264
D:\Geekbrains\Git_Tasks\Python_part_2\HW8\Package	file	txt_to_json.py	1069
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject	directory	.idea	12354
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject	directory	first_project	23018528
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject	directory	project_new	29919070
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject	directory	second_project	27253039
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject	directory	venv	20603523
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\.idea	file	misc.xml	209
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\.idea	file	pythonProject.iml	232
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\.idea	file	vcs.xml	191
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\.idea	file	workspace.xml	11548
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\.idea	directory	inspectionProfiles	174
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\.idea\inspectionProfiles	file	profiles_settings.xml	174
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project	directory	venv	23018528
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv	file	pyvenv.cfg	258
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv	directory	Include	0
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv	directory	Lib	22112738
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv	directory	Scripts	905532
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib	directory	site-packages	22112738
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	file	distutils-precedence.pth	151
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	certifi	301166
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	certifi-2024.7.4.dist-info	4321
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	charset_normalizer	425493
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	charset_normalizer-3.3.2.dist-info	38277
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	idna	599347
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	idna-3.8.dist-info	12952
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	pip	11321342
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	pip-24.2.dist-info	81374
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	pkg_resources	1958953
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	requests	418642
D:\Geekbrains\Git_Tasks\Python_part_2\pythonProject\first_project\venv\Lib\site-packages	directory	requests-2.32.3.dist-info	17708
